Title;Description;Price;Stock;Subcategory;Image_Path
Segasaun;Segasaun;13;1;Saun;/path/to/image_1.jpg
Sauna 10 käsku;Sauna 10 käsku;13;10;Saun;/path/to/image_2.jpg
Segasaun mehed saunas naised tulevad segama;Segasaun mehed saunas naised tulevad segama;13;12;Saun;/path/to/image_3.jpg
Õlleta sauna ei saa;Õlleta sauna ei saa;13;3;Saun;/path/to/image_4.jpg
Õlle ilma saunata ,pole häda midagi .saun ilma õlleta ,pole väärt midagi;Õlle ilma saunata ,pole häda midagi .saun ilma õlleta ,pole väärt midagi;13;13;Saun;/path/to/image_5.jpg
Kuumus keha kallistaja palavus perse paitaja;Kuumus keha kallistaja palavus perse paitaja;13;9;Saun;/path/to/image_6.jpg
Õige saunaviha saad siis kui ühissaunas peeretad;Õige saunaviha saad siis kui ühissaunas peeretad;13;4;Saun;/path/to/image_7.jpg
Segasaun naised saunas mehed tulevad segama;Segasaun naised saunas mehed tulevad segama;13;2;Saun;/path/to/image_8.jpg
Pekisulatus;Pekisulatus;13;5;Saun;/path/to/image_9.jpg
Ennem päev söömata kui nädal saunas käimata;Ennem päev söömata kui nädal saunas käimata;13;12;Saun;/path/to/image_10.jpg
Olen muidu röömus inimene aga sauna lähen alati vihaga;Olen muidu röömus inimene aga sauna lähen alati vihaga;13;8;Saun;/path/to/image_11.jpg
Saun teeb terveks ja tugevaks hüva leili;Saun teeb terveks ja tugevaks hüva leili;13;4;Saun;/path/to/image_12.jpg
Õlleta saunas nagu rahata kõrtsis;Õlleta saunas nagu rahata kõrtsis;13;9;Saun;/path/to/image_13.jpg
Õlleta võib saunast tulla mitte aga minna;Õlleta võib saunast tulla mitte aga minna;13;4;Saun;/path/to/image_14.jpg
Popurii;Popurii;13;7;Saun;/path/to/image_15.jpg
Miks saun on parem kui armuke;Miks saun on parem kui armuke;13;8;Saun;/path/to/image_16.jpg
Saunas käimise 10 põhjust;Saunas käimise 10 põhjust;13;8;Saun;/path/to/image_17.jpg
Sauna eeskiri;Sauna eeskiri;13;6;Saun;/path/to/image_18.jpg
Sõna on vaba;Sõna on vaba;13;11;Saun;/path/to/image_19.jpg
Saun on vase mehe tohter;Saun on vase mehe tohter;13;1;Saun;/path/to/image_20.jpg
Saun ilma vihata kui voodi ilma kaasata;Saun ilma vihata kui voodi ilma kaasata;13;1;Saun;/path/to/image_21.jpg
Kui ihu harida saab ei siis hing hukka lähe!;Kui ihu harida saab ei siis hing hukka lähe!;13;1;Saun;/path/to/image_22.jpg
Ettevaatust kurjad naised saunas;Ettevaatust kurjad naised saunas;13;1;Saun;/path/to/image_23.jpg
Ettevaatust lahked mehed saunas;Ettevaatust lahked mehed saunas;13;1;Saun;/path/to/image_24.jpg
Meie saunas oleme teineteise seltskonna lõõgastume naudime oleme heatujulised me viskame leili higistame hoiame sauna puhtana jälgime ohutusreegleid mõtlema ka omi mõtteid arvestame alati teineteise soovidega;Meie saunas oleme teineteise seltskonna lõõgastume naudime oleme heatujulised me viskame leili higistame hoiame sauna puhtana jälgime ohutusreegleid mõtlema ka omi mõtteid arvestame alati teineteise soovidega;13;4;Saun;/path/to/image_25.jpg
Eesti saunas on naised ja kivid kuumad ja joogid külmad;Eesti saunas on naised ja kivid kuumad ja joogid külmad;13;4;Saun;/path/to/image_26.jpg
