Title;Description;Price;Stock;Subcategory;Image_Path
Soolaleivaks soovime;Soolaleivaks soovime;10;1;Sildid_1;/path/to/image_27.jpg
Igal kalamehel on oma mõrd. mõnel isegi rohkem;Igal kalamehel on oma mõrd. mõnel isegi rohkem;10;1;Sildid_1;/path/to/image_28.jpg
Mutt aias;Mutt aias;10;1;Sildid_1;/path/to/image_29.jpg
Aju ei ole kulmud neid ei saa joonistada;Aju ei ole kulmud neid ei saa joonistada;10;8;Sildid_1;/path/to/image_30.jpg
Kui sul on koht, kuhu alati tulla,on see kodu.kui on sul inimesed,keda armastada,on see perekond.kui on sul mõlemad ,on see tõeline õnn;Kui sul on koht, kuhu alati tulla,on see kodu.kui on sul inimesed,keda armastada,on see perekond.kui on sul mõlemad ,on see tõeline õnn;10;6;Sildid_1;/path/to/image_31.jpg
Kui mees ütleb,et teeb siis ta ka teeb seda. pole vaja meelde tuletada iga 6 kuu tagant;Kui mees ütleb,et teeb siis ta ka teeb seda. pole vaja meelde tuletada iga 6 kuu tagant;10;12;Sildid_1;/path/to/image_32.jpg
Arvamus on nagu perse-igaühel oma;Arvamus on nagu perse-igaühel oma;10;5;Sildid_1;/path/to/image_33.jpg
Elu ei ole muinasjutt kui sa ikka keset ööd oma kinga ära kaotad siis oled sa täis;Elu ei ole muinasjutt kui sa ikka keset ööd oma kinga ära kaotad siis oled sa täis;10;6;Sildid_1;/path/to/image_34.jpg
Võid siin vabalt ringi vaadata;Võid siin vabalt ringi vaadata;10;1;Sildid_1;/path/to/image_35.jpg
Ma ei jää kunagi hiljaks õige aeg on siis kui ma kohale jõuan;Ma ei jää kunagi hiljaks õige aeg on siis kui ma kohale jõuan;10;1;Sildid_1;/path/to/image_36.jpg
Elu on täis mõistatusi näiteks miks mehed lähevad nägu pestes ilusamaks aga naised koledamaks;Elu on täis mõistatusi näiteks miks mehed lähevad nägu pestes ilusamaks aga naised koledamaks;10;12;Sildid_1;/path/to/image_37.jpg
Maja on hoone kodu tunne;Maja on hoone kodu tunne;10;1;Sildid_1;/path/to/image_38.jpg
Naised ja uksed annavad alati järele kui neid õrnalt kohelda;Naised ja uksed annavad alati järele kui neid õrnalt kohelda;10;1;Sildid_1;/path/to/image_39.jpg
Sõbrad on nagu tähed .... sa ei pruugi neid ühtelugu näha aga tead ,et nad on kuskil olemas;Sõbrad on nagu tähed .... sa ei pruugi neid ühtelugu näha aga tead ,et nad on kuskil olemas;10;2;Sildid_1;/path/to/image_40.jpg
Isa otsustab suuri asju ema otsustab väikseid asju ning seda kas asi on suur vüi väike;Isa otsustab suuri asju ema otsustab väikseid asju ning seda kas asi on suur vüi väike;10;5;Sildid_1;/path/to/image_41.jpg
Ära vaidle rumalaga kõrval vaaataja ei pruugi vahet teha;Ära vaidle rumalaga kõrval vaaataja ei pruugi vahet teha;10;1;Sildid_1;/path/to/image_42.jpg
Mehega on nagu autoga läheb aeg üle kipub rooste minema;Mehega on nagu autoga läheb aeg üle kipub rooste minema;10;1;Sildid_1;/path/to/image_43.jpg
Hea on olla rikas ja hea on olla tugev kuid veel parem on olla armastatud paljude sõprade poolt;Hea on olla rikas ja hea on olla tugev kuid veel parem on olla armastatud paljude sõprade poolt;10;2;Sildid_1;/path/to/image_44.jpg
Eesti on vaba maa kus iga mees võib tega täpselt seda mida tahab kui tema naine lubab;Eesti on vaba maa kus iga mees võib tega täpselt seda mida tahab kui tema naine lubab;10;4;Sildid_1;/path/to/image_45.jpg
Õlut juuakse ainult kahel juhul kui ollakse kas üksi või kellegiga koos;Õlut juuakse ainult kahel juhul kui ollakse kas üksi või kellegiga koos;10;1;Sildid_1;/path/to/image_46.jpg
Hea figuuri ja suhete saladus .pane suu õigel ajal kinni;Hea figuuri ja suhete saladus .pane suu õigel ajal kinni;10;10;Sildid_1;/path/to/image_47.jpg
Õnn pole mitte lõpp punkt kuhu jõudma peab õnn seisneb teekonnas endas;Õnn pole mitte lõpp punkt kuhu jõudma peab õnn seisneb teekonnas endas;10;1;Sildid_1;/path/to/image_48.jpg
Ma olen vormis ümmargune on ka vorm;Ma olen vormis ümmargune on ka vorm;10;6;Sildid_1;/path/to/image_49.jpg
Elu koosneb valikutest võta jalanõud jalast või küüri põrandat;Elu koosneb valikutest võta jalanõud jalast või küüri põrandat;10;10;Sildid_1;/path/to/image_50.jpg
Häid sõpru on raske leida õnneks oleme sul meie;Häid sõpru on raske leida õnneks oleme sul meie;10;1;Sildid_1;/path/to/image_51.jpg
Veinis peitub tõde õlles peitub jõud vees aga bakter;Veinis peitub tõde õlles peitub jõud vees aga bakter;10;2;Sildid_1;/path/to/image_52.jpg
Erilisi on maailmas vähe sellepärast on sind vaid üks;Erilisi on maailmas vähe sellepärast on sind vaid üks;10;1;Sildid_1;/path/to/image_53.jpg
Sitahäda ja kurja ämma eest kaugele ei jookse;Sitahäda ja kurja ämma eest kaugele ei jookse;10;12;Sildid_1;/path/to/image_54.jpg
Mees arutleb ,naine vaatleb;Mees arutleb ,naine vaatleb;10;1;Sildid_1;/path/to/image_55.jpg
Tellistest ja mördist tehakse maja ,aga naer ja lapsed teevad sellest kodu;Tellistest ja mördist tehakse maja ,aga naer ja lapsed teevad sellest kodu;10;5;Sildid_1;/path/to/image_56.jpg
Läksin 10 minutiks naabri juurde .tulen tunni aja pärast.;Läksin 10 minutiks naabri juurde .tulen tunni aja pärast.;10;1;Sildid_1;/path/to/image_57.jpg
Mees on ainult sama truu kui tema valiku võimalused;Mees on ainult sama truu kui tema valiku võimalused;10;;Sildid_1;/path/to/image_58.jpg
Pohmell on looduse viis karistamaks täiskasvanuid koduarestiga;Pohmell on looduse viis karistamaks täiskasvanuid koduarestiga;10;5;Sildid_1;/path/to/image_59.jpg
Kui te ei saa olla täht taevas ,püüdke olla vähemalt lambike kodus;Kui te ei saa olla täht taevas ,püüdke olla vähemalt lambike kodus;10;;Sildid_1;/path/to/image_60.jpg
Me oleme täiuslikud oma ebatäiuslikkuses;Me oleme täiuslikud oma ebatäiuslikkuses;10;3;Sildid_1;/path/to/image_61.jpg
Meeste reeglid! 1.leia tasuval tööl naine,ke armastab kodutöid. 2.leia naine ,kes on voodis pöörane.3.leianaine ,kes naerab sinu naljade üle.4leia naine ,kes on aus. 5. kõige olulisem ,et need 4 naist teinteisega kunagi ei kohtuks.;Meeste reeglid! 1.leia tasuval tööl naine,ke armastab kodutöid. 2.leia naine ,kes on voodis pöörane.3.leianaine ,kes naerab sinu naljade üle.4leia naine ,kes on aus. 5. kõige olulisem ,et need 4 naist teinteisega kunagi ei kohtuks.;10;4;Sildid_1;/path/to/image_62.jpg
Naine on nagu potsataja soe ,pehme,armastab kõrvadega ja kogu elu elb mingi krokotilli kõrval;Naine on nagu potsataja soe ,pehme,armastab kõrvadega ja kogu elu elb mingi krokotilli kõrval;10;2;Sildid_1;/path/to/image_63.jpg
Mehe vanus ei tähenda midagi ta võib olla hurmav 20 -selt, pilkupüüdev 30-selt, lummav 40 -selt ja vastupandamatu elu lõpuni.;Mehe vanus ei tähenda midagi ta võib olla hurmav 20 -selt, pilkupüüdev 30-selt, lummav 40 -selt ja vastupandamatu elu lõpuni.;10;10;Sildid_1;/path/to/image_64.jpg
Armastus on nagu liblikas peos.kui liiga õrnalt hoiad,läheb lendu ,kui aga liiga tugevalt siis puruneb;Armastus on nagu liblikas peos.kui liiga õrnalt hoiad,läheb lendu ,kui aga liiga tugevalt siis puruneb;10;;Sildid_1;/path/to/image_65.jpg
Meie naised,teeme kergelt kärbsest elevandi,tühjast asjast suure skandaali ja jobukakust armsa mehe….. võlurid oleme;Meie naised,teeme kergelt kärbsest elevandi,tühjast asjast suure skandaali ja jobukakust armsa mehe….. võlurid oleme;10;3;Sildid_1;/path/to/image_66.jpg
Ideaalses perekonnas ei tea naine kust raha tuleb ja mees ei tea kuhu raha kaob;Ideaalses perekonnas ei tea naine kust raha tuleb ja mees ei tea kuhu raha kaob;10;2;Sildid_1;/path/to/image_67.jpg
Muretsemine on nagu kiiktool see annab tegevuse aga ei vii kuhugi edasi;Muretsemine on nagu kiiktool see annab tegevuse aga ei vii kuhugi edasi;10;2;Sildid_1;/path/to/image_68.jpg
Ärge võtke elu liiga tõsiselt nagunii te sellest eluga ei pääse;Ärge võtke elu liiga tõsiselt nagunii te sellest eluga ei pääse;10;1;Sildid_1;/path/to/image_69.jpg
Olla poisslaps-on soo küsimus. olla mees -on vanuse küsimus olla härrasmees-on valiku küsimus olla jobu -pole mingi küsimus;Olla poisslaps-on soo küsimus. olla mees -on vanuse küsimus olla härrasmees-on valiku küsimus olla jobu -pole mingi küsimus;10;3;Sildid_1;/path/to/image_70.jpg
Ma ei ole hull ma olen segiolemisega hästi kursis;Ma ei ole hull ma olen segiolemisega hästi kursis;10;2;Sildid_1;/path/to/image_71.jpg
Ettevaatust vabakasvatusega lapsed;Ettevaatust vabakasvatusega lapsed;10;;Sildid_1;/path/to/image_72.jpg
Kuri mees (vineerist);Kuri mees (vineerist);;;Sildid_1;/path/to/image_73.jpg
Karda vähem ja looda rohkem .söö vähem jahinga rohkem.räägi vähem ja ütle rohkem.vihka vähem ja armasta rohkem.;Karda vähem ja looda rohkem .söö vähem jahinga rohkem.räägi vähem ja ütle rohkem.vihka vähem ja armasta rohkem.;10;2;Sildid_1;/path/to/image_74.jpg
Kuri naine (vineerist);Kuri naine (vineerist);10;1;Sildid_1;/path/to/image_75.jpg
Kui tahad kohvi voodisse maga köögis;Kui tahad kohvi voodisse maga köögis;10;1;Sildid_1;/path/to/image_76.jpg
Ei saa ju kõik kõhnad olla, keegi peab ilus ka olema.;Ei saa ju kõik kõhnad olla, keegi peab ilus ka olema.;10;1;Sildid_1;/path/to/image_77.jpg
Kui kala ei võta siis võtab kalamees;Kui kala ei võta siis võtab kalamees;10;1;Sildid_1;/path/to/image_78.jpg
Tõeline mees armastab liha, koertele on mõeldud kondid;Tõeline mees armastab liha, koertele on mõeldud kondid;10;1;Sildid_1;/path/to/image_79.jpg
Kallis läksin mõrda panema;Kallis läksin mõrda panema;10;1;Sildid_1;/path/to/image_80.jpg
